Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ROC_Activity_DC_1904,,,2019-06-24 12:14:40,2019-06-24 12:14:45,5.196s,PASSED
,,,,,,
Test Cases/ROC_Activity_DC_1904/Roc_hogan_connector_activity_DC_1904,,,2019-06-24 12:14:40,2019-06-24 12:14:45,4.799s,PASSED
"response = sendRequest(findTestObject(""ROC_Activity_DC_1904/Roc_hogan_connector_activity_DC_1904""))",,,2019-06-24 12:14:41,2019-06-24 12:14:44,2.929s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-24 12:14:44,2019-06-24 12:14:44,0.021s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].action"", ""CICSReceiveMap"")",,,2019-06-24 12:14:44,2019-06-24 12:14:44,0.093s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].resources[0].annKeyword"", ""ActivityID"")",,,2019-06-24 12:14:44,2019-06-24 12:14:44,0.033s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].resources[0].read"", ""true"")",,,2019-06-24 12:14:44,2019-06-24 12:14:44,0.038s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].resources[0].value"", ""T58001M"")",,,2019-06-24 12:14:44,2019-06-24 12:14:44,0.035s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].resources[0].resourceType"", ""CICSMap"")",,,2019-06-24 12:14:44,2019-06-24 12:14:44,0.036s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].resources[0].qualifiers"", ""[T58001M]"")",,,2019-06-24 12:14:44,2019-06-24 12:14:44,0.039s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-06-24 12:14:44,2019-06-24 12:14:44,0.003s,PASSED
result = slurper.parseText(response.getResponseBodyContent()),,,2019-06-24 12:14:44,2019-06-24 12:14:44,0.013s,PASSED
Map_Name = value,,,2019-06-24 12:14:44,2019-06-24 12:14:44,0.002s,PASSED
"activity_url = ""http://localhost:9090/hogan-connector/activity/00000001904""",,,2019-06-24 12:14:44,2019-06-24 12:14:44,0.004s,PASSED
"println(""activity_url is :- "" + activity_url)",,,2019-06-24 12:14:44,2019-06-24 12:14:44,0.017s,PASSED
"callTestCase(findTestCase(""ROC_Activity_DC_1904/Activity_Controller_Verify_Response_1904""), [""URLS"":activity_url, ""M_Name"":Map_Name], CONTINUE_ON_FAILURE)",,,2019-06-24 12:14:44,2019-06-24 12:14:45,0.952s,PASSED
