Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ROC_Activity_Sdb_114,,,2019-06-21 09:59:38,2019-06-21 09:59:45,7.321s,PASSED
,,,,,,
Test Cases/ROC_Activity_Sdb_114/Roc_hogan_connector_activity_Sdb_114,,,2019-06-21 09:59:39,2019-06-21 09:59:45,6.549s,PASSED
"response = sendRequest(findTestObject(""ROC_Activity_Sdb_114/Roc_hogan_connector_activity_Sdb_114""))",,,2019-06-21 09:59:39,2019-06-21 09:59:44,4.186s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-21 09:59:44,2019-06-21 09:59:44,0.028s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].action"", ""FileWrite"")",,,2019-06-21 09:59:44,2019-06-21 09:59:44,0.119s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].resources[0].annKeyword"", ""ActivityID"")",,,2019-06-21 09:59:44,2019-06-21 09:59:44,0.056s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].resources[0].read"", ""true"")",,,2019-06-21 09:59:44,2019-06-21 09:59:44,0.052s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].resources[0].value"", ""PRINT"")",,,2019-06-21 09:59:44,2019-06-21 09:59:44,0.040s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].resources[0].resourceType"", ""File"")",,,2019-06-21 09:59:44,2019-06-21 09:59:44,0.043s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-06-21 09:59:44,2019-06-21 09:59:44,0.002s,PASSED
result = slurper.parseText(response.getResponseBodyContent()),,,2019-06-21 09:59:44,2019-06-21 09:59:44,0.015s,PASSED
activityid = annText,,,2019-06-21 09:59:44,2019-06-21 09:59:44,0.001s,PASSED
"println(""activityid:- "" + activityid)",,,2019-06-21 09:59:44,2019-06-21 09:59:44,0.006s,PASSED
DataBase_Name = value,,,2019-06-21 09:59:44,2019-06-21 09:59:44,0.003s,PASSED
"activity_url = ""http://localhost:9090/hogan-connector/activity/0000000114""",,,2019-06-21 09:59:44,2019-06-21 09:59:44,0.003s,PASSED
"println(""activity_url is :- "" + activity_url)",,,2019-06-21 09:59:44,2019-06-21 09:59:44,0.001s,PASSED
"callTestCase(findTestCase(""ROC_Activity_Sdb_114/Activity_Controller_Verify_Response_114""), [""URLS"":activity_url, ""D_Name"":DataBase_Name], CONTINUE_ON_FAILURE)",,,2019-06-21 09:59:44,2019-06-21 09:59:45,1.142s,PASSED
