Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ROC_Activity_Sort_202,,,2019-06-24 09:21:02,2019-06-24 09:21:09,6.711s,PASSED
,,,,,,
Test Cases/ROC_Activity_Sort_202/Roc_hogan_connector_activity_Sort_202,,,2019-06-24 09:21:02,2019-06-24 09:21:09,6.224s,PASSED
"response = sendRequest(findTestObject(""ROC_Activity_Sort_202/Roc_hogan_connector_activity_Sort_202""))",,,2019-06-24 09:21:03,2019-06-24 09:21:07,4.072s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-24 09:21:07,2019-06-24 09:21:07,0.029s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].action"", ""call"")",,,2019-06-24 09:21:07,2019-06-24 09:21:07,0.137s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.annKeyword"", ""ActivityID"")",,,2019-06-24 09:21:07,2019-06-24 09:21:07,0.030s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.read"", ""true"")",,,2019-06-24 09:21:07,2019-06-24 09:21:07,0.028s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.value"", ""0000000202"")",,,2019-06-24 09:21:07,2019-06-24 09:21:07,0.036s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.resourceType"", ""SORT"")",,,2019-06-24 09:21:07,2019-06-24 09:21:07,0.029s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-06-24 09:21:07,2019-06-24 09:21:07,0.002s,PASSED
result = slurper.parseText(response.getResponseBodyContent()),,,2019-06-24 09:21:07,2019-06-24 09:21:07,0.013s,PASSED
activityid = annText,,,2019-06-24 09:21:07,2019-06-24 09:21:07,0.001s,PASSED
"println(""activityid:- "" + activityid)",,,2019-06-24 09:21:07,2019-06-24 09:21:07,0.006s,PASSED
activity_id = value,,,2019-06-24 09:21:07,2019-06-24 09:21:07,0.003s,PASSED
"activity_url = ""http://localhost:9090/hogan-connector/activity/0000000202""",,,2019-06-24 09:21:07,2019-06-24 09:21:07,0.003s,PASSED
"println(""activity_url is :- "" + activity_url)",,,2019-06-24 09:21:07,2019-06-24 09:21:07,0.001s,PASSED
"callTestCase(findTestCase(""ROC_Activity_Sort_202/Activity_Controller_Verify_Response_202""), [""URLS"":activity_url, ""Activity_Id"":activity_id], CONTINUE_ON_FAILURE)",,,2019-06-24 09:21:07,2019-06-24 09:21:09,1.064s,PASSED
