Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ROC_MAP_Transaction_Program,,,2019-06-21 10:01:22,2019-06-21 10:01:44,21.562s,PASSED
,,,,,,
Test Cases/ROC_MAP_Transaction_Program/ROC_MAP_hogan_connector_txn_pgm,,,2019-06-21 10:01:23,2019-06-21 10:01:44,21.043s,PASSED
"response = sendRequest(findTestObject(""ROC_MAP_Transaction_Program/ROC_MAP_hogan_connector_txn_pgm""))",,,2019-06-21 10:01:24,2019-06-21 10:01:29,5.806s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-21 10:01:29,2019-06-21 10:01:29,0.026s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].source.resourceType"", ""CICSMap"")",,,2019-06-21 10:01:29,2019-06-21 10:01:30,0.234s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.resourceType"", ""CobolProgram"")",,,2019-06-21 10:01:30,2019-06-21 10:01:30,0.079s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-06-21 10:01:30,2019-06-21 10:01:30,0.003s,PASSED
result = slurper.parseText(response.getResponseBodyContent()),,,2019-06-21 10:01:30,2019-06-21 10:01:30,0.043s,PASSED
"for ([i = 0, i <= 20, (i++)])",,,2019-06-21 10:01:30,2019-06-21 10:01:44,14.090s,PASSED
