Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Roc_Activity_Link_34,,,2019-06-28 17:55:52,2019-06-28 17:55:58,5.719s,PASSED
,,,,,,
Test Cases/Roc_Activity_Link_34/Roc_hogan_connector_activity_Link_34,,,2019-06-28 17:55:52,2019-06-28 17:55:57,5.214s,PASSED
"response = sendRequest(findTestObject(""Roc_Activity_Link_34/Roc_hogan_connector_activity_Link_34""))",,,2019-06-28 17:55:53,2019-06-28 17:55:56,3.099s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-28 17:55:56,2019-06-28 17:55:56,0.054s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].action."", ""call"")",,,2019-06-28 17:55:56,2019-06-28 17:55:56,0.122s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.annKeyword"", ""ActivityID"")",,,2019-06-28 17:55:56,2019-06-28 17:55:56,0.055s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.read"", ""true"")",,,2019-06-28 17:55:56,2019-06-28 17:55:56,0.029s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.annText"", ""34 Issue exception acty 23 using TCB$USCC"")",,,2019-06-28 17:55:56,2019-06-28 17:55:56,0.047s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.value"", ""P49135"")",,,2019-06-28 17:55:56,2019-06-28 17:55:56,0.043s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.resourceType"", ""CobolProgram"")",,,2019-06-28 17:55:56,2019-06-28 17:55:56,0.056s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-06-28 17:55:56,2019-06-28 17:55:56,0.000s,PASSED
result = slurper.parseText(response.getResponseBodyContent()),,,2019-06-28 17:55:56,2019-06-28 17:55:56,0.016s,PASSED
activityid = annText,,,2019-06-28 17:55:56,2019-06-28 17:55:56,0.000s,PASSED
"str = activityid.split("" "")",,,2019-06-28 17:55:56,2019-06-28 17:55:57,0.016s,PASSED
activity_id = str[0],,,2019-06-28 17:55:57,2019-06-28 17:55:57,0.000s,PASSED
"println(""activity_id:- "" + activity_id)",,,2019-06-28 17:55:57,2019-06-28 17:55:57,0.042s,PASSED
programeName = value,,,2019-06-28 17:55:57,2019-06-28 17:55:57,0.000s,PASSED
"activity_url = ""http://localhost:9090/hogan-connector/activity/00000000"" + activity_id",,,2019-06-28 17:55:57,2019-06-28 17:55:57,0.000s,PASSED
"println(""activity_url is :- "" + activity_url)",,,2019-06-28 17:55:57,2019-06-28 17:55:57,0.000s,PASSED
"callTestCase(findTestCase(""Roc_Activity_Link_34/Activity_Controller_Verify_Response_34""), [""URLS"":activity_url, ""P_Name"":programeName], CONTINUE_ON_FAILURE)",,,2019-06-28 17:55:57,2019-06-28 17:55:57,0.912s,PASSED
