Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Transaction_Scenario,,,2019-06-24 09:23:53,2019-06-24 09:24:04,11.026s,PASSED
,,,,,,
Test Cases/Transaction_Scenario/ROC_hogan-connector_transaction,,,2019-06-24 09:23:53,2019-06-24 09:24:04,10.460s,PASSED
"response = sendRequest(findTestObject(""Transaction_Scenario/ROC_hogan-connector_transaction""))",,,2019-06-24 09:23:54,2019-06-24 09:23:57,3.112s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.020s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].action"", ""call"")",,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.092s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.read"", ""true"")",,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.048s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.resourceType"", ""CobolProgram"")",,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.044s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[1].action"", ""call"")",,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.037s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[1].target.read"", ""true"")",,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.031s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[1].target.resourceType"", ""CobolProgram"")",,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.037s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.006s,PASSED
result = slurper.parseText(response.getResponseBodyContent()),,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.014s,PASSED
program_name1 = value,,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.003s,PASSED
program_name2 = value,,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.004s,PASSED
println(program_name1),,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.012s,PASSED
println(program_name2),,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.005s,PASSED
Program_Name1 = program_name1,,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.054s,PASSED
Program_Name2 = program_name2,,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.003s,PASSED
"value = ""00319/00049 00101/00010""",,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.002s,PASSED
"st = value.split("" "")",,,2019-06-24 09:23:57,2019-06-24 09:23:57,0.004s,PASSED
"for ([i = 0, i <= 1, (i++)])",,,2019-06-24 09:23:57,2019-06-24 09:24:04,6.271s,PASSED
